URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author,byline,excerpt,lang
https://www.bbc.co.uk/programmes/articles/5df86e9c-d934-46a3-a0cd-44834e576ba1,1.2663514578408195,gender-,webpage,,When It Hits the Fan - Contact us,2024-06-04,2024-06-04T14:26:08+00:00,BBC,BBC,WIHTF - Contact us page,en-GB
https://www.bbc.co.uk/sounds/play/p0gzw333,14.73678963110668,"trans rights, trans woman, gender-",webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.","AntiSocial - ""Misogynoir"" – where the term came from and how it took root. - BBC Sounds",,,,,Prof Moya Bailey explains how she coined the term and then Katy Perry gave it a boost.,en-GB
https://www.bbc.co.uk/sounds/play/p0g60q40,14.775775775775776,"trans rights, trans woman, gender-",webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",AntiSocial - How did the patriarchy stand with second wave feminism? - BBC Sounds,,,,,How women's liberation was about critiquing structures rather than infiltrating them.,en-GB
https://www.bbc.co.uk/programmes/articles/4DsM19TM5mGyKsgLNNp4pCS/what-is-the-patriarchy,6.088505126821371,gender-,webpage,,What is “the patriarchy”? - What is the Patriarchy?,2023-08-11,2023-08-11T13:54:18+00:00,BBC,BBC,"In the wake of Barbie, AntiSocial looks to find a watertight definition of ""patriarchy"".",en-GB
https://www.bbc.co.uk/programmes/p0jf8q0m,1,transgender,webpage,Former foreign secretary and Times columnist Lord Hague sits down with Lord Sebastian Coe,"BBC Sounds - The Story, William Hague talks to Seb Coe: Olympics, doping and the trans issue",,,,,Former foreign secretary and Times columnist Lord Hague sits down with Lord Sebastian Coe,en-GB
https://www.bbc.co.uk/programmes/w3ct67qq,1.1307888040712468,gender-,webpage,"And what wildlife is at risk in the Amazon, Cerrado and Pantanal areas?","BBC World Service - What in the World, Wildfires and drought in Brazil - what does it mean for the Amazon?",,,,,"And what wildlife is at risk in the Amazon, Cerrado and Pantanal areas?",en-GB
https://www.bbc.co.uk/news/disability-62011918,3.189010078696673,"intersectionality, trans man",webpage,"As more university students identify as disabled and LGBT, UCAS hopes to improve the experience.",Disabled and LGBT: 'Dad had to carry me up the stairs to the LGBT party' - BBC News,,,,Beth Rose,"As more university students identify as disabled and LGBT, UCAS hopes to improve the experience.",en-GB
https://www.bbc.co.uk/news/disability-59042087,1.490507225843015,gender-,webpage,"Disabled people are among those worst affected by emergencies, including climate crises - but why?",Climate change: Why are disabled people so affected by the climate crisis? - BBC News,,,,Keiligh Baker,"Disabled people are among those worst affected by emergencies, including climate crises - but why?",en-GB
https://www.bbc.co.uk/news/disability-58231022,1.4227926876701673,gender-,webpage,A global campaign is launched to improve the lives of more than 1.2bn disabled people.,WeThe15: 'Game-changer' plan for 1.2bn disabled people - BBC News,,,,Beth Rose,A global campaign is launched to improve the lives of more than 1.2bn disabled people.,en-GB
https://www.bbc.co.uk/news/disability-56111149,20.890903898329288,"gender-, non binary, trans people, trans man, gender identity, transgender",webpage,People with learning difficulties are often overlooked when it comes to sex education.,Disability and dating: 'I didn’t know what bisexual was' - BBC News,,,,Ammar Ebrahim and Ben Hunte,People with learning difficulties are often overlooked when it comes to sex education.,en-GB
https://www.bbc.co.uk/news/disability-55259019,1.2957497792912094,gender-,webpage,"As The Archers reveal three characters kept as slaves have a learning or mental health disability, how widespread is the problem in the UK?",The Archers tackles the 'hidden' connection between disability and modern slavery - BBC News,,,,BBC News,"As The Archers reveal three characters kept as slaves have a learning or mental health disability, how widespread is the problem in the UK?",en-GB
https://www.bbc.co.uk/news/disability-54934504,4,"intersectionality, gender-",webpage,"An 'unsanitised' retelling of the lives of Helen Keller, Mabel Normand and Rosa May Billinghurst in a new podcast reveals their impact on modern feminism.",The new podcast ‘smashing the box’ of disabled feminism - BBC News,,,,Keiligh Baker,"An 'unsanitised' retelling of the lives of Helen Keller, Mabel Normand and Rosa May Billinghurst in a new podcast reveals their impact on modern feminism.",en-GB
