Score,URL,
1.000000,https://www.bbc.co.uk/sounds,
1.000000,https://www.bbc.com/sport,
1.000000,https://www.bbc.co.uk/cbeebies,
2.000000,https://www.bbc.com/,
1.000000,https://www.bbc.com/video,
2.000000,https://www.bbc.com/news,
1.000000,https://www.bbc.com/innovation,
1.000000,https://www.bbc.co.uk/usingthebbc/terms/,
1.000000,https://www.bbc.co.uk/bitesize,
1.000000,https://www.bbc.com/usingthebbc/privacy/,
1.000000,https://www.bbc.com/travel,
1.000000,https://www.bbc.co.uk/usingthebbc/privacy/,
1.000000,https://www.bbc.co.uk/aboutthebbc,
1.000000,https://www.bbc.com/usingthebbc/cookies/,
1.000000,https://www.bbc.co.uk/accessibility/,
1.000000,https://www.bbc.co.uk/contact,
1.000000,https://www.bbc.co.uk/usingthebbc/cookies/,
1.000000,https://www.bbc.com/culture,
1.000000,https://www.bbc.co.uk/bbcnewsletter,
1.000000,https://www.bbc.co.uk/guidance,
2.000000,https://www.bbc.com/future-planet,
1.000000,https://static.files.bbci.co.uk/orbit/bde9d3f679d1dd3f8768859cc949031d/css/orbit-ltr.min.css,
1.000000,https://static.files.bbci.co.uk/account/id-cta/730/style/id-cta.css,
1.000000,https://www.bbc.co.uk/contact/complaints/,
1.000000,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/app.min.css,
1.000000,https://static.bbc.co.uk/frameworks/requirejs/lib.js,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/components.min.css,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/app.min.css,
1.000000,https://www.bbc.co.uk/cbbc,
1.000000,https://www.bbc.com/business,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/components.min.css,
1.000000,https://www.bbc.co.uk/usingthebbc/account,
